for_indicator,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
General Services (Recurrent Expendi in Bil Birr),0.358801,0.496419,0.588885,0.916337,0.83979,0.917218,0.951585,1.101669,1.34632,1.2599,1.24207,1.25537,1.3581,1.71256,2.03108,2.2665,2.00193,1.0606,1.16314,1.353069,1.656917,1.949562,1.920746546,3.188938634,5.764983543,8.378761106,5.554542,5.1340734,5.1851951,5.128599,5.5630738,7.6125101,6.8066133,9.532610946,10.92674371,12.99548479,16.34176692,22.217458,25.1286234,29.990122,37.260763,43.55902383,53.71382097,62.71568297,74.66036201,89.92022293,129.6789019,214.473604
   Organ of the State (General Services),0.014149,0.01022,0.01555,0.0204,0.02544,0.022,0.0262,0.065985,0.0617,0.06507,0.05693,0.06356,0.0752,0.08646,0.0928,0.099,0.0779,0.148,0.09959,0.150775,0.255751,0.343368,0.2437021,0.290021811,0.363708273,0.360394255,0.469508,0.5018097,0.582394,0.635869,0.747974,0.774009,0.970394,1.389371,1.910081,2.471132,2.645135,3.094121,3.776876227,4.484786,6.33809,7.227428526,8.76263116,9.979346817,12.17497923,15.30208056,21.9138335,23.852483
   Justice (General Services),0.0099,0.00934,0.00994,0.0101,0.01037,0.0104,0.0109,0.011034,0.0117,0.01251,0.01296,0.01343,0.0141,0.015,0.0164,0.0193,0.01893,0.0185,0.02536,0.045313,0.058505,0.066676,0.059373562,0.065478496,0.095614581,0.1127649,0.16743,0.3271017,0.351858,0.282494,0.47087,0.4059571,0.71648,0.76801259,0.918646158,0.942407,1.4361892,2.061206,2.453492655,2.935093,4.9518,5.263569911,5.752771353,8.079504122,9.295683652,10.37701911,11.29781742,21.7199183
   Defence (General Services),0.1849,0.31559,0.38315,0.7034,0.62756,0.6957,0.7271,0.8356,1.0623,0.93912,0.92637,0.92936,1.0111,1.34,1.6544,1.8411,1.646,0.634,0.68077,0.662982,0.736558,0.771616,0.864252,1.955490886,4.335603284,6.816258,3.642284,2.891702,2.537829,2.494,2.56041,2.648051,2.563815,3.899426,3.772654638,3.954562,4.618615,6.336764,6.528589,7.0416,8.8143,9.498140814,11.93990333,12.81355474,15.60501177,16.90824068,37.09235347,102.6167
   Public order & security (General Services),0.1106,0.118329,0.128977,0.126182,0.11735,0.123918,0.117685,0.11706,0.12932,0.14936,0.15278,0.15351,0.1593,0.1571,0.1237,0.1575,0.1081,0.0931,0.148,0.212823,0.243972,0.34739,0.350376684,0.412655788,0.457112321,0.4624886,0.530445,0.490168,0.7595751,0.680355,0.704126,1.123045,1.206322,1.682474,2.1052374,2.785358,3.7425028,5.012409,5.447109,6.584043,7.83196,9.248894645,13.37698932,14.17097083,17.2210934,24.17420265,30.33592672,31.8617047
   General services (General Services),0.039252,0.04294,0.051268,0.056255,0.05907,0.0652,0.0697,0.07199,0.0813,0.09384,0.09303,0.09551,0.0984,0.114,0.14378,0.1496,0.151,0.167,0.20942,0.281176,0.362131,0.420512,0.4030422,0.465291653,0.512945084,0.626855351,0.744875,0.923292,0.953539,1.035881,1.0796938,2.661448,1.3496023,1.793327356,2.220124509,2.842025793,3.899324919,5.712958,6.922556515,8.9446,9.324613,12.32098993,13.88152581,17.67230646,20.36359395,23.15867993,29.03897082,34.422798
Economic Services (Recurrent Expendi in Bil Birr),0.069179,0.083303,0.090956,0.101477,0.096827,0.111156,0.11596,0.127986,0.154355,0.138743,0.14385,0.1465,0.1609,0.1974,0.2136,0.229,0.2213,0.24375,0.335435,0.445741,0.567219,0.620528,0.6724376,0.648886666,0.792040549,0.837044854,1.0059899,1.0901339,1.431997,1.43045,1.440299,1.863732,2.147628,2.905283839,3.393545519,4.133270048,5.642677885,7.731276,9.473810474,11.174427,13.87671,23.17319033,23.45150237,26.50326412,31.23338636,36.32312336,42.4976724,50.7111224
   Agriculture (Economic Services),0.01886,0.027123,0.026488,0.031184,0.036732,0.041067,0.04278,0.05015,0.05727,0.061615,0.0668,0.0693,0.0804,0.1071,0.1178,0.1294,0.1214,0.1351,0.17357,0.191552,0.237528,0.317078,0.3590036,0.392211303,0.461370769,0.4706619,0.56096,0.516062,0.730961,0.744397,0.863607,1.242063,1.416783,1.815699972,2.101374872,2.287843576,3.13549,4.413554,5.147317819,5.60329,6.5048,13.40654073,9.962332934,12.21441898,15.39757497,17.89526535,21.85026297,23.281796
   Natural Resourse (Economic Services),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058619,0.09943,0.061492,0.0596701,0.055136923,0.059009161,0.0721684,0.095572,0.191102,0.117948,0.243886,0.146104,0.149504,0.177289,0.260871868,0.272929118,0.522926545,0.634101885,0.922225,1.160311137,1.621484,2.6002,3.21239351,3.84061723,4.338973962,4.784940695,5.303470174,5.051205837,7.779259
     Water Supply (Economic Services),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016741,0.0253,0.0227,0.017893,0.026511,0,0.08828,0.056173,0.053627,0.107724,0.0919019,0.135145268,0.159815118,0.212140545,0.501908085,0.801336,0.46107422,1.082397,2.0769,3.02010351,3.42347423,3.390350962,3.746050695,4.753441174,4.993755837,5.677144
     Irrigation Development (Economic Services),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012241,0.012404,0.008859,0.013831,0.0324971,0.0316456,0.009086,0.025997,0.053712,0.067071,0.123279,0.255146,0.335581,0.43119,0.56817,0,0,0,0,0
"   Trade ,Industry & Tourisim (Economic Services)",0.002752,0.002778,0.005138,0.004941,0.006618,0.009445,0.01271,0.010926,0.013401,0.013655,0.01269,0.01458,0.0162,0.0164,0.01768,0.0192,0.0174,0.01846,0.02079,0.03393,0.038522,0.039932,0.0409352,0.043565929,0.047566447,0.0532496,0.072406,0.153222,0.228537,0.129473,0.13272,0.160541,0.204881,0.30283,0.412481529,0.533960928,0.763551,1.09228,1.448503177,1.61606,2.4222,3.456273053,5.296384853,5.434790805,6.0580695,7.795539168,7.136026744,9.613667
   Mines & Energy (Economic Services),0.004554,0.005261,0.004159,0.003816,0.004055,0.00567,0.00612,0.006769,0.013745,0.003456,0.00391,0.00429,0.0046,0.0054,0.0061,0.0061,0.0146,0.0068,0.019395,0.017704,0.017687,0.024053,0.0176316,0.021974945,0.028614701,0.0321125,0.0377125,0.0422359,0.02952,0.031016,0.03127,0.038038,0.037886,0.04553,0.053424,0.065921,0.062975,0.05488,0.079586152,0.071559,0.09108,0.116584043,0.136123724,0.164010465,0.153552616,0.188783621,0.366673048,0.356692
   Tourism (Economic Services),0.000881,0.000653,0.000653,0.000755,0.000637,0.00129,0.00153,0.001864,0.002275,0.00225,0.00201,0.00199,0.0021,0.0022,0.00212,0.0021,0.0021,0.00199,0.00268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826221,0.0859024
   Transport & communication (Economic Services),0.007278,0.00987,0.008,0.012945,0.0006,0.006359,0.0007,0.0009,0.00148,0.000588,0.00084,0.00089,0.0008,0.0012,0.001,0.0023,0.0021,0.0009,0.02173,0.02624,0.010491,0.011056,0.0098705,0.013199988,0.078699045,0.0868346,0.1005884,0.074496,0.203618,0.158622,0.135846,0.137336,0.144261,0.175164,0.197784,0.239221,0.359585,0.452238,0.604705549,0.960445,0.5228,0.675391739,0.696773809,0.644356525,0.684633159,0.927268327,2.283799966,3.331516
   Urban devt. & construction (Economic Services),0.034854,0.037618,0.046518,0.047836,0.048185,0.047325,0.05212,0.057377,0.066184,0.057179,0.0576,0.05545,0.0568,0.0651,0.0605,0.0606,0.0553,0.0706,0.08533,0.109885,0.153297,0.154909,0.1709696,0.097994578,0.079817537,0.093244854,0.109367,0.109581,0.095747,0.09505,0.10526,0.110679,0.148472,0.254953,0.302466,0.422626,0.603687,0.704343,0.935152639,1.184689,1.47573,2.006807257,3.052369819,3.256513381,3.474404871,3.666959154,4.399771665,4.91179
     Road Construction (Economic Services),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6876,1.014401423,1.380915275,1.496999355,1.732390078,2.013927616,1.899035531,2.706077
   Economic development studies (Economic Services),0,0,0,,0,0,0,0,0,0,,,,,0.0084,0.0093,0.0084,0.0099,0.01194,0.007811,0.010264,0.012008,0.014357,0.024803,0.036962889,0.028773,0.029384,0.003435,0.025666,0.028006,0.025492,0.025571,0.018056,0.050235,0.053086,0.060771,0.083288,0.091756,0.098234,0.1169,0.2599,0.2992,0.4669,0.4502,0.680210545,0.545837565,0.583711176,1.3505
Social Services (Recurrent Expendi in Bil Birr),0.201579,0.195941,0.204294,0.216194,0.246094,0.274999,0.32056,0.354909,0.411338,0.440041,0.5313,0.54537,0.5797,0.5948,0.6375,0.6587,0.6464,0.79112,0.95876,1.212075,1.402712,1.419914,1.4988038,1.700819574,1.916321965,2.099646917,2.371959,3.06086,3.714923,3.719603,4.019739,5.154398,6.16551,8.598847581,10.35714054,12.49092084,16.71341796,22.269945,27.47746099,32.626749,48.20123,59.74014578,86.6593639,97.84576448,112.5160361,133.8559865,160.3661363,200.594252
   Education & training (Social Services),0.138187,0.132953,0.134632,0.138479,0.15605,0.179561,0.20546,0.23817,0.26944,0.296721,0.3286,0.34639,0.3794,0.4055,0.4256,0.4562,0.4471,0.4903,0.604,0.740999,0.8635,0.941009,1.0324012,1.12014379,1.260761825,1.337980927,1.576961,1.920166,2.395425,2.627356,2.983719,3.783949,4.713014,6.737574823,8.040586884,9.216436223,12.910352,16.856953,20.71704101,24.206903,35.65287,41.20941128,57.90099689,65.31367168,72.70715591,88.31142112,107.5130416,127.505839
   Culture & sports (Social Services),0.0009,0.003138,0.0041,0.004137,0.0067,0.00722,0.00789,0.00873,0.010374,0.011447,0.01164,0.01167,0.0132,0.0125,0.012,0.013,0.0134,0.0142,0.01896,0.025925,0.02952,0.027712,0.0131998,0.019269177,0.02516616,0.025591862,0.034329,0.061081,0.064349,0.066887,0.056196,0.158301,0.150971,0.228685079,0.361540075,0.425349,0.528212,0.772178,0.860434883,1.131709,1.5248,2.131766439,2.87822367,3.361538612,3.470639707,2.817620628,3.621059814,4.163166
   Public health (Social Services),0.0338,0.04316,0.049666,0.0518,0.059669,0.065358,0.07713,0.07577,0.083505,0.085376,0.10124,0.10167,0.1112,0.1176,0.1259,0.1326,0.1284,0.1515,0.18922,0.280744,0.31021,0.326064,0.3409223,0.390217102,0.459105401,0.401724061,0.486065,0.542499,0.620537,0.544952,0.663876,0.843715,0.995117,1.43626799,1.774402797,2.128774613,3.010118665,4.160517,5.332457381,6.615963,10.22836,12.84676508,16.83283593,20.70250968,25.51849987,35.06473295,40.66541723,47.266772
   Labour & social welfare (Social Services),0.007692,0.01069,0.010406,0.012578,0.015195,0.01386,0.02093,0.023419,0.024727,0.026887,0.0251,0.02565,0.0263,0.0275,0.0362,0.0362,0.0371,0.04453,0.0388,0.053796,0.051343,0.051858,0.054409,0.055579243,0.053426137,0.057350849,0.063373,0.055936,0.077839,0.122436,0.101978,0.087031,0.117416,0.138122575,0.148029514,0.174205,0.188039,0.376417,0.460664438,0.55594,0.6305,0.695880007,0.843375369,0.993023254,1.229296732,1.878184425,2.074144391,2.42342
   Rehabilitation (Social Services),0.021,0.006,0.00549,0.0092,0.00848,0.009,0.00915,0.00882,0.023292,0.01961,0.06472,0.05999,0.0496,0.0317,0.0378,0.0207,0.0204,0.09059,0.10778,0.110611,0.148139,0.073271,0.0578715,0.115610262,0.117862442,0.276999218,0.211231,0.481178,0.556773,0.357972,0.21397,0.281402,0.188992,0.058197113,0.032581266,0.546156,0.076696299,0.10388,0.106863276,0.116234,0.1647,2.856322972,8.20393204,7.475021256,9.590443843,5.784027379,6.49247334,19.235055
Pension Payments (Recurrent Expendi in Bil Birr),0.0444,0.04862,0.05294,0.057206,0.065964,0.06807,0.09045,0.087658,0.092247,0.099972,0.1085,0.11643,0.1242,0.1295,0.1402,0.1579,0.1457,0.1943,0.22821,0.27492,0.274417,0.290577,0.3035485,0.307339893,0.020563289,0.024603,0.017365,0,0,0,0.006218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interest & Charges (Recurrent Expendi in Bil Birr),0.0201,0.03284,0.04236,0.048241,0.0585,0.06349,0.07774,0.083807,0.09129,0.14742,0.16544,0.1902,0.2022,0.2447,0.2487,0.2275,0.2679,0.3073,0.53051,0.956963,0.838628,0.922523,0.918732,0.869514563,1.002462365,1.210625898,1.069865,0.996445,1.0168694,1.104272,1.088815,1.09006,1.204083,1.117503,1.383492,1.577669,2.605077,2.40362,3.138973,3.806731,5.3377,7.2318,8.24806,11.57065,13.52582,13.48113464,24.00101,38.5128
   Internal debt (Interest & Charges),0.0105,0.02257,0.03058,0.03655,0.04574,0.04839,0.06191,0.066109,0.070464,0.12053,0.13642,0.15516,0.1518,0.1569,0.1643,0.1804,0.2127,0.246,0.40891,0.809915,0.596805,0.609616,0.635329,0.56021884,0.629205009,0.832067708,0.565064,0.573236,0.599056,0.583991,0.589412,0.658521,0.724771,0.891568,1.132703,1.210102,1.991964,1.561124,1.999731,2.291196,2.8353,3.63887,4.1258,6.18067,7.43607,6.3665,16.56285,26.6021
   External debt (Interest & Charges),0.0096,0.01027,0.01178,0.011691,0.01276,0.0151,0.01583,0.017698,0.020826,0.02689,0.02902,0.03504,0.0504,0.0878,0.0844,0.0471,0.0552,0.0613,0.1216,0.147048,0.241823,0.312907,0.283403,0.309295723,0.373257356,0.37855819,0.504801,0.423209,0.4178134,0.520281,0.499403,0.431539,0.479312,0.225935,0.250789,0.367567,0.613113,0.842496,1.139242,1.515535,2.5024,3.59293,4.12226,5.38998,6.08975,7.114634635,7.43816,11.9107
Subsidies (Transfer) (Recurrent Expendi in Bil Birr),0.036,0,0,0.006246,0,0.12359,0.09312,0.025444,0.28492,0.047945,0.0364,0.06246,0.0573,0.0692,0.10529,0.09188,0.0619,0.05979,0.006,0.08509,0.149845,0.174477,0.127392,0.069412,0.002377,0.058533,0.005005,0,0.010126,0.109197,0.012124,0.341504,0.018386,0.016787,0.017331,0.011327,0.011,0.011,0.0137,0.0415,0.034,0.575731,0.117514,0,0,0,0,0
Miscellaneous (Recurrent Expendi in Bil Birr),0.00117,0.00112,0.000715,0.000861,0.002,0.00178,0.00586,0.001292,0.00138,0.001443,0.0017,0.0027,0.0033,0.0045,0.0046,0.0045,0.0065,0.18965,0.07991,0.018377,0.047801,0.047889,0.041413,0.031905,0.046593489,0.016285,0.021466,0.050544,0.066848,0.054125,0.155681,0.334038,0.27644,0.390761,0.188596,0.570471,0.112184,0.709021112,0.108701825,0.626144,2.52206,3.004536735,4.56185929,11.83485235,6.220983837,7.086576054,7.0531904,12.75159323
External assistance (Recurrent Expendi in Bil Birr),0.064,0.04173,0.02125,0.0049,0.1531,0.1185,0.1212,0.131976,0.159,0.10051,0.40714,0.27142,0.1343,0.4668,0.4053,0.2069,0.2887,0.4071,0.1325,0.053322,0.213536,0.142663,0.2624534,0.367842,0.97394,1.081208,1.54607144,0.784626,0.019006,1.360504,1.201217,0.696312,0.524613,0.64333,0.102663,0.046405,0.149816,0.277892,0.447713,0.023036,0,0,0,0,0,0,0,0
Loan Source (Recurrent Expendi in Bil Birr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000783,0.000861,0.000204,0.010188,0.001762,0.031649,0.023529,0.00896,0.00863,0.000000002,0,0.000002226,0,0,0.000617,0,0,0,0,0
Social safety net (Recurrent Expendi in Bil Birr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064134,0.012083,0.004219,0.005794791,0.007291,0.000151,0,0,0.000254,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Expenditure (Recurrent Expendi in Bil Birr),0.759229,0.899973,1.0014,1.345216,1.462275,1.555213,1.683355,1.889297,2.25593,2.188029,2.6,2.52799,2.5627,3.35026,3.68098,3.751,3.57843,3.19382,3.428465,4.314467,5.00123,5.393656,5.618134846,7.11524633,10.5169052,13.64817477,11.58725834,11.1166823,11.4348385,12.797553,13.4750428,16.7510501,17.1248873,23.18833637,26.35218076,31.81422068,41.56493977,55.60921211,65.77528268,78.247209,107.198463,136.7086967,176.6346065,210.4702139,238.1565883,280.6670435,363.5969111,517.0433716
